kind	x	y	z	block	meta	extra
block	8	-8	7	grass	0	-1
block	8	-8	8	grass	0	-1
block	8	-8	9	grass	0	-1
block	8	-8	10	grass	0	-1
block	8	-8	11	grass	0	-1
block	8	-8	12	grass	0	-1
block	8	-8	13	grass	0	-1
block	8	-8	14	grass	0	-1
block	8	-8	15	grass	0	-1
block	8	-8	16	grass	0	-1
block	8	-8	17	grass	0	-1
block	8	-8	18	grass	0	-1
block	8	-8	19	grass	0	-1
block	8	-8	20	grass	0	-1
block	8	-8	21	grass	0	-1
block	8	-8	22	grass	0	-1
block	9	-8	3	grass	0	-1
block	9	-8	4	grass	0	-1
block	9	-8	5	grass	0	-1
block	9	-8	6	grass	0	-1
block	9	-8	7	grass	0	-1
block	9	-8	8	grass	0	-1
block	9	-8	9	grass	0	-1
block	9	-8	10	grass	0	-1
block	9	-8	11	grass	0	-1
block	9	-8	12	grass	0	-1
block	9	-8	13	grass	0	-1
block	9	-8	14	grass	0	-1
block	9	-8	15	grass	0	-1
block	9	-8	16	grass	0	-1
block	9	-8	17	grass	0	-1
block	9	-8	18	grass	0	-1
block	9	-8	19	grass	0	-1
block	9	-8	20	grass	0	-1
block	9	-8	21	grass	0	-1
block	9	-8	22	grass	0	-1
block	10	-8	3	grass	0	-1
block	10	-8	4	grass	0	-1
block	10	-8	5	grass	0	-1
block	10	-8	6	grass	0	-1
block	10	-8	7	grass	0	-1
block	10	-8	8	grass	0	-1
block	10	-8	9	grass	0	-1
block	10	-8	10	grass	0	-1
block	10	-8	11	grass	0	-1
block	10	-8	12	grass	0	-1
block	10	-8	13	grass	0	-1
block	10	-8	14	grass	0	-1
block	10	-8	15	grass	0	-1
block	10	-8	16	grass	0	-1
block	10	-8	17	grass	0	-1
block	10	-8	18	grass	0	-1
block	10	-8	19	grass	0	-1
block	10	-8	20	grass	0	-1
block	10	-8	21	grass	0	-1
block	10	-8	22	grass	0	-1
block	11	-8	3	grass	0	-1
block	11	-8	4	grass	0	-1
block	11	-8	5	grass	0	-1
block	11	-8	6	grass	0	-1
block	11	-8	7	grass	0	-1
block	11	-8	8	grass	0	-1
block	11	-8	9	grass	0	-1
block	11	-8	10	grass	0	-1
block	11	-8	11	grass	0	-1
block	11	-8	12	grass	0	-1
block	11	-8	13	grass	0	-1
block	11	-8	14	grass	0	-1
block	11	-8	15	grass	0	-1
block	11	-8	16	grass	0	-1
block	11	-8	17	grass	0	-1
block	11	-8	18	grass	0	-1
block	11	-8	19	grass	0	-1
block	11	-8	20	grass	0	-1
block	11	-8	21	grass	0	-1
block	11	-8	22	grass	0	-1
block	12	-8	3	grass	0	-1
block	12	-8	4	grass	0	-1
block	12	-8	5	grass	0	-1
block	12	-8	6	grass	0	-1
block	12	-8	7	grass	0	-1
block	12	-8	8	grass	0	-1
block	12	-8	9	grass	0	-1
block	12	-8	10	grass	0	-1
block	12	-8	11	grass	0	-1
block	12	-8	12	grass	0	-1
block	12	-8	13	grass	0	-1
block	12	-8	14	grass	0	-1
block	12	-8	15	grass	0	-1
block	12	-8	16	grass	0	-1
block	12	-8	17	grass	0	-1
block	12	-8	18	grass	0	-1
block	12	-8	19	grass	0	-1
block	12	-8	20	grass	0	-1
block	12	-8	21	grass	0	-1
block	12	-8	22	grass	0	-1
block	13	-8	3	grass	0	-1
block	13	-8	4	grass	0	-1
block	13	-8	5	grass	0	-1
block	13	-8	6	grass	0	-1
block	13	-8	7	grass	0	-1
block	13	-8	8	grass	0	-1
block	13	-8	9	grass	0	-1
block	13	-8	10	grass	0	-1
block	13	-8	11	grass	0	-1
block	13	-8	12	grass	0	-1
block	13	-8	13	grass	0	-1
block	13	-8	14	grass	0	-1
block	13	-8	15	grass	0	-1
block	13	-8	16	grass	0	-1
block	13	-8	17	grass	0	-1
block	13	-8	18	grass	0	-1
block	13	-8	19	grass	0	-1
block	13	-8	20	grass	0	-1
block	13	-8	21	grass	0	-1
block	13	-8	22	grass	0	-1
block	14	-8	3	grass	0	-1
block	14	-8	4	grass	0	-1
block	14	-8	5	grass	0	-1
block	14	-8	6	grass	0	-1
block	14	-8	7	grass	0	-1
block	14	-8	8	grass	0	-1
block	14	-8	9	grass	0	-1
block	14	-8	10	grass	0	-1
block	14	-8	11	grass	0	-1
block	14	-8	12	grass	0	-1
block	14	-8	13	grass	0	-1
block	14	-8	14	grass	0	-1
block	14	-8	15	grass	0	-1
block	14	-8	16	grass	0	-1
block	14	-8	17	grass	0	-1
block	14	-8	18	grass	0	-1
block	14	-8	19	grass	0	-1
block	14	-8	20	grass	0	-1
block	14	-8	21	grass	0	-1
block	14	-8	22	grass	0	-1
block	15	-8	3	grass	0	-1
block	15	-8	4	grass	0	-1
block	15	-8	5	grass	0	-1
block	15	-8	6	grass	0	-1
block	15	-8	7	grass	0	-1
block	15	-8	8	grass	0	-1
block	15	-8	9	grass	0	-1
block	15	-8	10	grass	0	-1
block	15	-8	11	grass	0	-1
block	15	-8	12	grass	0	-1
block	15	-8	13	grass	0	-1
block	15	-8	14	grass	0	-1
block	15	-8	15	grass	0	-1
block	15	-8	16	grass	0	-1
block	15	-8	17	grass	0	-1
block	15	-8	18	grass	0	-1
block	15	-8	19	grass	0	-1
block	15	-8	20	grass	0	-1
block	15	-8	21	grass	0	-1
block	15	-8	22	grass	0	-1
block	16	-8	3	grass	0	-1
block	16	-8	4	grass	0	-1
block	16	-8	5	grass	0	-1
block	16	-8	6	grass	0	-1
block	16	-8	7	grass	0	-1
block	16	-8	8	grass	0	-1
block	16	-8	9	grass	0	-1
block	16	-8	10	grass	0	-1
block	16	-8	11	grass	0	-1
block	16	-8	12	grass	0	-1
block	16	-8	13	grass	0	-1
block	16	-8	14	grass	0	-1
block	16	-8	15	grass	0	-1
block	16	-8	16	grass	0	-1
block	16	-8	17	grass	0	-1
block	16	-8	18	grass	0	-1
block	16	-8	19	grass	0	-1
block	16	-8	20	grass	0	-1
block	16	-8	21	grass	0	-1
block	16	-8	22	grass	0	-1
block	17	-8	3	grass	0	-1
block	17	-8	4	grass	0	-1
block	17	-8	5	grass	0	-1
block	17	-8	6	grass	0	-1
block	17	-8	7	grass	0	-1
block	17	-8	8	grass	0	-1
block	17	-8	9	grass	0	-1
block	17	-8	10	grass	0	-1
block	17	-8	11	grass	0	-1
block	17	-8	12	grass	0	-1
block	17	-8	13	grass	0	-1
block	17	-8	14	grass	0	-1
block	17	-8	15	grass	0	-1
block	17	-8	16	grass	0	-1
block	17	-8	17	grass	0	-1
block	17	-8	18	grass	0	-1
block	17	-8	19	grass	0	-1
block	17	-8	20	grass	0	-1
block	17	-8	21	grass	0	-1
block	17	-8	22	grass	0	-1
block	18	-8	3	grass	0	-1
block	18	-8	4	grass	0	-1
block	18	-8	5	grass	0	-1
block	18	-8	6	grass	0	-1
block	18	-8	7	grass	0	-1
block	18	-8	8	grass	0	-1
block	18	-8	9	grass	0	-1
block	18	-8	10	grass	0	-1
block	18	-8	11	grass	0	-1
block	18	-8	12	grass	0	-1
block	18	-8	13	grass	0	-1
block	18	-8	14	grass	0	-1
block	18	-8	15	grass	0	-1
block	18	-8	16	grass	0	-1
block	18	-8	17	grass	0	-1
block	18	-8	18	grass	0	-1
block	18	-8	19	grass	0	-1
block	18	-8	20	grass	0	-1
block	18	-8	21	grass	0	-1
block	18	-8	22	grass	0	-1
block	19	-8	3	grass	0	-1
block	19	-8	4	grass	0	-1
block	19	-8	5	grass	0	-1
block	19	-8	6	grass	0	-1
block	19	-8	7	grass	0	-1
block	19	-8	8	grass	0	-1
block	19	-8	9	grass	0	-1
block	19	-8	10	grass	0	-1
block	19	-8	11	grass	0	-1
block	19	-8	12	grass	0	-1
block	19	-8	13	grass	0	-1
block	19	-8	14	grass	0	-1
block	19	-8	15	grass	0	-1
block	19	-8	16	grass	0	-1
block	19	-8	17	grass	0	-1
block	19	-8	18	grass	0	-1
block	19	-8	19	grass	0	-1
block	19	-8	20	grass	0	-1
block	19	-8	21	grass	0	-1
block	19	-8	22	grass	0	-1
block	20	-8	3	grass	0	-1
block	20	-8	4	grass	0	-1
block	20	-8	5	grass	0	-1
block	20	-8	6	grass	0	-1
block	20	-8	7	grass	0	-1
block	20	-8	8	grass	0	-1
block	20	-8	9	grass	0	-1
block	20	-8	10	grass	0	-1
block	20	-8	11	grass	0	-1
block	20	-8	12	grass	0	-1
block	20	-8	13	grass	0	-1
block	20	-8	14	grass	0	-1
block	20	-8	15	grass	0	-1
block	20	-8	16	grass	0	-1
block	20	-8	17	grass	0	-1
block	20	-8	18	grass	0	-1
block	20	-8	19	grass	0	-1
block	20	-8	20	grass	0	-1
block	20	-8	21	grass	0	-1
block	20	-8	22	grass	0	-1
block	21	-8	3	grass	0	-1
block	21	-8	4	grass	0	-1
block	21	-8	5	grass	0	-1
block	21	-8	6	grass	0	-1
block	21	-8	7	grass	0	-1
block	21	-8	8	grass	0	-1
block	21	-8	9	grass	0	-1
block	21	-8	10	grass	0	-1
block	21	-8	11	grass	0	-1
block	21	-8	12	grass	0	-1
block	21	-8	13	grass	0	-1
block	21	-8	14	grass	0	-1
block	21	-8	15	grass	0	-1
block	21	-8	16	grass	0	-1
block	21	-8	17	grass	0	-1
block	21	-8	18	grass	0	-1
block	21	-8	19	grass	0	-1
block	21	-8	20	grass	0	-1
block	21	-8	21	grass	0	-1
block	21	-8	22	grass	0	-1
block	22	-8	3	grass	0	-1
block	22	-8	4	grass	0	-1
block	22	-8	5	grass	0	-1
block	22	-8	6	grass	0	-1
block	22	-8	7	grass	0	-1
block	22	-8	8	grass	0	-1
block	22	-8	9	grass	0	-1
block	22	-8	10	grass	0	-1
block	22	-8	11	grass	0	-1
block	22	-8	12	grass	0	-1
block	22	-8	13	grass	0	-1
block	22	-8	14	grass	0	-1
block	22	-8	15	grass	0	-1
block	22	-8	16	grass	0	-1
block	22	-8	17	grass	0	-1
block	22	-8	18	grass	0	-1
block	22	-8	19	grass	0	-1
block	22	-8	20	grass	0	-1
block	22	-8	21	grass	0	-1
block	22	-8	22	grass	0	-1
block	3	-7	3	grass	0	-1
block	3	-7	4	grass	0	-1
block	3	-7	5	grass	0	-1
block	3	-7	6	grass	0	-1
block	3	-7	7	grass	0	-1
block	3	-7	8	grass	0	-1
block	3	-7	9	grass	0	-1
block	3	-7	10	grass	0	-1
block	3	-7	11	grass	0	-1
block	3	-7	12	grass	0	-1
block	3	-7	13	grass	0	-1
block	3	-7	14	grass	0	-1
block	3	-7	15	grass	0	-1
block	3	-7	16	grass	0	-1
block	3	-7	17	grass	0	-1
block	3	-7	18	grass	0	-1
block	3	-7	19	grass	0	-1
block	3	-7	20	grass	0	-1
block	3	-7	21	grass	0	-1
block	3	-7	22	grass	0	-1
block	4	-7	3	grass	0	-1
block	4	-7	4	grass	0	-1
block	4	-7	5	grass	0	-1
block	4	-7	6	grass	0	-1
block	4	-7	7	grass	0	-1
block	4	-7	8	grass	0	-1
block	4	-7	9	grass	0	-1
block	4	-7	10	grass	0	-1
block	4	-7	11	grass	0	-1
block	4	-7	12	grass	0	-1
block	4	-7	13	grass	0	-1
block	4	-7	14	grass	0	-1
block	4	-7	15	grass	0	-1
block	4	-7	16	grass	0	-1
block	4	-7	17	grass	0	-1
block	4	-7	18	grass	0	-1
block	4	-7	19	grass	0	-1
block	4	-7	20	grass	0	-1
block	4	-7	21	grass	0	-1
block	4	-7	22	grass	0	-1
block	5	-7	3	grass	0	-1
block	5	-7	4	grass	0	-1
block	5	-7	5	grass	0	-1
block	5	-7	6	grass	0	-1
block	5	-7	7	grass	0	-1
block	5	-7	8	grass	0	-1
block	5	-7	9	grass	0	-1
block	5	-7	10	grass	0	-1
block	5	-7	11	grass	0	-1
block	5	-7	12	grass	0	-1
block	5	-7	13	grass	0	-1
block	5	-7	14	grass	0	-1
block	5	-7	15	grass	0	-1
block	5	-7	16	grass	0	-1
block	5	-7	17	grass	0	-1
block	5	-7	18	grass	0	-1
block	5	-7	19	grass	0	-1
block	5	-7	20	grass	0	-1
block	5	-7	21	grass	0	-1
block	5	-7	22	grass	0	-1
block	6	-7	3	grass	0	-1
block	6	-7	4	grass	0	-1
block	6	-7	5	grass	0	-1
block	6	-7	6	grass	0	-1
block	6	-7	7	grass	0	-1
block	6	-7	8	grass	0	-1
block	6	-7	9	grass	0	-1
block	6	-7	10	grass	0	-1
block	6	-7	11	grass	0	-1
block	6	-7	12	grass	0	-1
block	6	-7	13	grass	0	-1
block	6	-7	14	grass	0	-1
block	6	-7	15	grass	0	-1
block	6	-7	16	grass	0	-1
block	6	-7	17	grass	0	-1
block	6	-7	18	grass	0	-1
block	6	-7	19	grass	0	-1
block	6	-7	20	grass	0	-1
block	6	-7	21	grass	0	-1
block	6	-7	22	grass	0	-1
block	7	-7	3	grass	0	-1
block	7	-7	4	grass	0	-1
block	7	-7	5	grass	0	-1
block	7	-7	6	grass	0	-1
block	7	-7	7	grass	0	-1
block	7	-7	8	grass	0	-1
block	7	-7	9	grass	0	-1
block	7	-7	10	grass	0	-1
block	7	-7	11	grass	0	-1
block	7	-7	12	grass	0	-1
block	7	-7	13	grass	0	-1
block	7	-7	14	grass	0	-1
block	7	-7	15	grass	0	-1
block	7	-7	16	grass	0	-1
block	7	-7	17	grass	0	-1
block	7	-7	18	grass	0	-1
block	7	-7	19	grass	0	-1
block	7	-7	20	grass	0	-1
block	7	-7	21	grass	0	-1
block	7	-7	22	grass	0	-1
block	8	-7	3	grass	0	-1
block	8	-7	4	grass	0	-1
block	8	-7	5	grass	0	-1
block	8	-7	6	grass	0	-1
block	8	-7	7	grass	0	-1
block	8	-7	8	grass	0	-1
block	8	-7	9	grass	0	-1
block	8	-7	10	grass	0	-1
block	8	-7	11	grass	0	-1
block	8	-7	12	grass	0	-1
block	8	-7	13	grass	0	-1
block	8	-7	14	grass	0	-1
block	8	-7	15	grass	0	-1
block	8	-7	16	grass	0	-1
block	8	-7	17	grass	0	-1
block	8	-7	18	grass	0	-1
block	8	-7	19	grass	0	-1
block	8	-7	20	grass	0	-1
block	8	-7	21	grass	0	-1
block	8	-7	22	grass	0	-1
block	9	-7	3	grass	0	-1
block	9	-7	4	grass	0	-1
block	9	-7	5	grass	0	-1
block	9	-7	6	grass	0	-1
block	9	-7	7	grass	0	-1
block	9	-7	8	grass	0	-1
block	9	-7	9	grass	0	-1
block	9	-7	10	grass	0	-1
block	9	-7	11	grass	0	-1
block	9	-7	12	grass	0	-1
block	9	-7	13	grass	0	-1
block	9	-7	14	grass	0	-1
block	9	-7	15	grass	0	-1
block	9	-7	16	grass	0	-1
block	9	-7	17	grass	0	-1
block	9	-7	18	grass	0	-1
block	9	-7	19	grass	0	-1
block	9	-7	20	grass	0	-1
block	9	-7	21	grass	0	-1
block	9	-7	22	grass	0	-1
block	10	-7	3	grass	0	-1
block	10	-7	4	grass	0	-1
block	10	-7	5	grass	0	-1
block	10	-7	6	grass	0	-1
block	10	-7	7	grass	0	-1
block	10	-7	8	grass	0	-1
block	10	-7	9	grass	0	-1
block	10	-7	10	grass	0	-1
block	10	-7	11	grass	0	-1
block	10	-7	12	grass	0	-1
block	10	-7	13	grass	0	-1
block	10	-7	14	grass	0	-1
block	10	-7	15	grass	0	-1
block	10	-7	16	grass	0	-1
block	10	-7	17	grass	0	-1
block	10	-7	18	grass	0	-1
block	10	-7	19	grass	0	-1
block	10	-7	20	grass	0	-1
block	10	-7	21	grass	0	-1
block	10	-7	22	grass	0	-1
block	11	-7	3	grass	0	-1
block	11	-7	4	grass	0	-1
block	11	-7	5	grass	0	-1
block	11	-7	6	grass	0	-1
block	11	-7	7	grass	0	-1
block	11	-7	8	grass	0	-1
block	11	-7	9	grass	0	-1
block	11	-7	10	grass	0	-1
block	11	-7	11	grass	0	-1
block	11	-7	12	grass	0	-1
block	11	-7	13	grass	0	-1
block	11	-7	14	grass	0	-1
block	11	-7	15	grass	0	-1
block	11	-7	16	grass	0	-1
block	11	-7	17	grass	0	-1
block	11	-7	18	grass	0	-1
block	11	-7	19	grass	0	-1
block	11	-7	20	grass	0	-1
block	11	-7	21	grass	0	-1
block	11	-7	22	grass	0	-1
block	12	-7	3	grass	0	-1
block	12	-7	4	grass	0	-1
block	12	-7	5	grass	0	-1
block	12	-7	6	grass	0	-1
block	12	-7	7	grass	0	-1
block	12	-7	8	grass	0	-1
block	12	-7	9	grass	0	-1
block	12	-7	10	grass	0	-1
block	12	-7	11	grass	0	-1
block	12	-7	12	grass	0	-1
block	12	-7	13	grass	0	-1
block	12	-7	14	grass	0	-1
block	12	-7	15	grass	0	-1
block	12	-7	16	grass	0	-1
block	12	-7	17	grass	0	-1
block	12	-7	18	grass	0	-1
block	12	-7	19	grass	0	-1
block	12	-7	20	grass	0	-1
block	12	-7	21	grass	0	-1
block	12	-7	22	grass	0	-1
block	13	-7	3	grass	0	-1
block	13	-7	4	grass	0	-1
block	13	-7	5	grass	0	-1
block	13	-7	6	grass	0	-1
block	13	-7	7	grass	0	-1
block	13	-7	8	grass	0	-1
block	13	-7	9	grass	0	-1
block	13	-7	10	grass	0	-1
block	13	-7	11	grass	0	-1
block	13	-7	12	grass	0	-1
block	13	-7	13	grass	0	-1
block	13	-7	14	grass	0	-1
block	13	-7	15	grass	0	-1
block	13	-7	16	grass	0	-1
block	13	-7	17	grass	0	-1
block	13	-7	18	grass	0	-1
block	13	-7	19	grass	0	-1
block	13	-7	20	grass	0	-1
block	13	-7	21	grass	0	-1
block	13	-7	22	grass	0	-1
block	14	-7	3	grass	0	-1
block	14	-7	4	grass	0	-1
block	14	-7	5	grass	0	-1
block	14	-7	6	grass	0	-1
block	14	-7	7	grass	0	-1
block	14	-7	8	grass	0	-1
block	14	-7	9	grass	0	-1
block	14	-7	10	grass	0	-1
block	14	-7	11	grass	0	-1
block	14	-7	12	grass	0	-1
block	14	-7	13	grass	0	-1
block	14	-7	14	grass	0	-1
block	14	-7	15	grass	0	-1
block	14	-7	16	grass	0	-1
block	14	-7	17	grass	0	-1
block	14	-7	18	grass	0	-1
block	14	-7	19	grass	0	-1
block	14	-7	20	grass	0	-1
block	14	-7	21	grass	0	-1
block	14	-7	22	grass	0	-1
block	15	-7	3	grass	0	-1
block	15	-7	4	grass	0	-1
block	15	-7	5	grass	0	-1
block	15	-7	6	grass	0	-1
block	15	-7	7	grass	0	-1
block	15	-7	8	grass	0	-1
block	15	-7	9	grass	0	-1
block	15	-7	10	grass	0	-1
block	15	-7	11	grass	0	-1
block	15	-7	12	grass	0	-1
block	15	-7	13	grass	0	-1
block	15	-7	14	grass	0	-1
block	15	-7	15	grass	0	-1
block	15	-7	16	grass	0	-1
block	15	-7	17	grass	0	-1
block	15	-7	18	grass	0	-1
block	15	-7	19	grass	0	-1
block	15	-7	20	grass	0	-1
block	15	-7	21	grass	0	-1
block	15	-7	22	grass	0	-1
block	16	-7	3	grass	0	-1
block	16	-7	4	grass	0	-1
block	16	-7	5	grass	0	-1
block	16	-7	6	grass	0	-1
block	16	-7	7	grass	0	-1
block	16	-7	8	grass	0	-1
block	16	-7	9	grass	0	-1
block	16	-7	10	grass	0	-1
block	16	-7	11	grass	0	-1
block	16	-7	12	grass	0	-1
block	16	-7	13	grass	0	-1
block	16	-7	14	grass	0	-1
block	16	-7	15	grass	0	-1
block	16	-7	16	grass	0	-1
block	16	-7	17	grass	0	-1
block	16	-7	18	grass	0	-1
block	16	-7	19	grass	0	-1
block	16	-7	20	grass	0	-1
block	16	-7	21	grass	0	-1
block	16	-7	22	grass	0	-1
block	17	-7	3	grass	0	-1
block	17	-7	4	grass	0	-1
block	17	-7	5	grass	0	-1
block	17	-7	6	grass	0	-1
block	17	-7	7	grass	0	-1
block	17	-7	8	grass	0	-1
block	17	-7	9	grass	0	-1
block	17	-7	10	grass	0	-1
block	17	-7	11	grass	0	-1
block	17	-7	12	grass	0	-1
block	17	-7	13	grass	0	-1
block	17	-7	14	grass	0	-1
block	17	-7	15	grass	0	-1
block	17	-7	16	grass	0	-1
block	17	-7	17	grass	0	-1
block	17	-7	18	grass	0	-1
block	17	-7	19	grass	0	-1
block	17	-7	20	grass	0	-1
block	17	-7	21	grass	0	-1
block	17	-7	22	grass	0	-1
block	18	-7	3	grass	0	-1
block	18	-7	4	grass	0	-1
block	18	-7	5	grass	0	-1
block	18	-7	6	grass	0	-1
block	18	-7	7	grass	0	-1
block	18	-7	8	grass	0	-1
block	18	-7	9	grass	0	-1
block	18	-7	10	grass	0	-1
block	18	-7	11	grass	0	-1
block	18	-7	12	grass	0	-1
block	18	-7	13	grass	0	-1
block	18	-7	14	grass	0	-1
block	18	-7	15	grass	0	-1
block	18	-7	16	grass	0	-1
block	18	-7	17	grass	0	-1
block	18	-7	18	grass	0	-1
block	18	-7	19	grass	0	-1
block	18	-7	20	grass	0	-1
block	18	-7	21	grass	0	-1
block	18	-7	22	grass	0	-1
block	19	-7	3	grass	0	-1
block	19	-7	4	grass	0	-1
block	19	-7	5	grass	0	-1
block	19	-7	6	grass	0	-1
block	19	-7	7	grass	0	-1
block	19	-7	8	grass	0	-1
block	19	-7	9	grass	0	-1
block	19	-7	10	grass	0	-1
block	19	-7	11	grass	0	-1
block	19	-7	12	grass	0	-1
block	19	-7	13	grass	0	-1
block	19	-7	14	grass	0	-1
block	19	-7	15	grass	0	-1
block	19	-7	16	grass	0	-1
block	19	-7	17	grass	0	-1
block	19	-7	18	grass	0	-1
block	19	-7	19	grass	0	-1
block	19	-7	20	grass	0	-1
block	19	-7	21	grass	0	-1
block	19	-7	22	grass	0	-1
block	20	-7	3	grass	0	-1
block	20	-7	4	grass	0	-1
block	20	-7	5	grass	0	-1
block	20	-7	6	grass	0	-1
block	20	-7	7	grass	0	-1
block	20	-7	8	grass	0	-1
block	20	-7	9	grass	0	-1
block	20	-7	10	grass	0	-1
block	20	-7	11	grass	0	-1
block	20	-7	12	grass	0	-1
block	20	-7	13	grass	0	-1
block	20	-7	14	grass	0	-1
block	20	-7	15	grass	0	-1
block	20	-7	16	grass	0	-1
block	20	-7	17	grass	0	-1
block	20	-7	18	grass	0	-1
block	20	-7	19	grass	0	-1
block	20	-7	20	grass	0	-1
block	20	-7	21	grass	0	-1
block	20	-7	22	grass	0	-1
block	21	-7	3	grass	0	-1
block	21	-7	4	grass	0	-1
block	21	-7	5	grass	0	-1
block	21	-7	6	grass	0	-1
block	21	-7	7	grass	0	-1
block	21	-7	8	grass	0	-1
block	21	-7	9	grass	0	-1
block	21	-7	10	grass	0	-1
block	21	-7	11	grass	0	-1
block	21	-7	12	grass	0	-1
block	21	-7	13	grass	0	-1
block	21	-7	14	grass	0	-1
block	21	-7	15	grass	0	-1
block	21	-7	16	grass	0	-1
block	21	-7	17	grass	0	-1
block	21	-7	18	grass	0	-1
block	21	-7	19	grass	0	-1
block	21	-7	20	grass	0	-1
block	21	-7	21	grass	0	-1
block	21	-7	22	grass	0	-1
block	22	-7	3	grass	0	-1
block	22	-7	4	grass	0	-1
block	22	-7	5	grass	0	-1
block	22	-7	6	grass	0	-1
block	22	-7	7	grass	0	-1
block	22	-7	8	grass	0	-1
block	22	-7	9	grass	0	-1
block	22	-7	10	grass	0	-1
block	22	-7	11	grass	0	-1
block	22	-7	12	grass	0	-1
block	22	-7	13	grass	0	-1
block	22	-7	14	grass	0	-1
block	22	-7	15	grass	0	-1
block	22	-7	16	grass	0	-1
block	22	-7	17	grass	0	-1
block	22	-7	18	grass	0	-1
block	22	-7	19	grass	0	-1
block	22	-7	20	grass	0	-1
block	22	-7	21	grass	0	-1
block	22	-7	22	grass	0	-1
block	3	-6	3	grass	0	-1
block	3	-6	4	grass	0	-1
block	3	-6	5	grass	0	-1
block	3	-6	6	grass	0	-1
block	3	-6	7	grass	0	-1
block	3	-6	8	grass	0	-1
block	3	-6	9	grass	0	-1
block	3	-6	10	grass	0	-1
block	3	-6	11	grass	0	-1
block	3	-6	12	grass	0	-1
block	3	-6	13	grass	0	-1
block	3	-6	14	grass	0	-1
block	3	-6	15	grass	0	-1
block	3	-6	16	grass	0	-1
block	3	-6	17	grass	0	-1
block	3	-6	18	grass	0	-1
block	3	-6	19	grass	0	-1
block	3	-6	20	grass	0	-1
block	3	-6	21	grass	0	-1
block	3	-6	22	grass	0	-1
block	4	-6	3	grass	0	-1
